Founded Year,Company,Employees,Website,Industry,Keywords,SEO Description
1984,Idma Laboratories,96,http://www.idmagroup.co.in,facilities services,"microbiological amp chemical testing, testing containers, testing of authenticity of meats amp food products, elemental testing using lcicpms, testing of ayurvedic herbal drugs for steriods heavy metal contaminations, chronic oral toxicity testing, environment impact assesment studies, on site construction labs, testing pesticides, biotoxins in food items, toxicokinetics, environmental monitoring & analysis, bio pesticides amp agro chemicals, steel testing, testing of admixtures, testing of aflatoxins, bio pesticides agro chemicals, microbiological chemical testing, pharmaceutical testing, mycotoxins, highway construction testing, testing of fragnances amp flavours, testing all types of cements, method development validation studies, skin sensitisation testing, toxicology screening, testing of authenticity of meats food products, subchronic oral toxicity testing, testing of pesticides residues in foods water, textile leather analysis, textile amp leather analysis, carcinogenicity testing, environmental monitoring & analysis of air water pollutants including vocs, mechanical testing, testing animal feeds, testing of fragnances flavours, acute toxicity testing, drugs, soil geotechnical investigations, method development amp validation studies, testing of pesticides residues in foods amp water, testing all types of packaged drinking water, testing of ayurvedic amp herbal drugs for steriods amp heavy metal contaminations, food testing, medicines, civil, environmental monitoring & analysis of air amp water pollutants including voc39s, testing of milk dairy products, soil amp geotechnical investigations, testing of milk amp dairy products",Idma Group
1984,Treehouse Hope,82,http://www.treehousehope.org,individual & family services,"education, education technology, training, youth outreach, hurting youth, at risk, teen support, youth ministry, community services, community service/non-profit, local services",Our vision is for every teen to be rooted in the living hope of Jesusâ€”unleashing untold potential in communities everywhere.
1984,Sanskruti by Sanjay Desai,3,http://www.sanskrutibysanjaydesai.com,apparel & fashion,"ajrakh, dresses, dabu material, sarees, fabrics, gamthi prints, patola, cotton, bandhani, dupattas, ancient works, hyderabadi prints",Discover the finest women's & men's ethnic fashion and fabrics online at Sanskruti by Sanjay Desai. Explore our exquisite collection and experience unparalleled quality in Ahmedabad's top online Indian ethnic store.
1984,Karuna Khaitan,7,http://www.karunakhaitan.in,apparel & fashion,"sustainability, designer wear, fashion, womens clothing, handwoven, occasion wear, pret","Buy Ethical Designer Clothing for Women at Karuna Khaitan, one of the Best Branded Online Clothes Shopping Sites. Shop our trendy and sustainable collection, designed with an ethical foundation for elegant and comfortable fashion."
1984,Yorbeau Resources,2,http://www.yorbeauresources.com,mining & metals,"base & precious metal, prospecting, gold exploration, mineral exploration","Yorbeau Resources is a Canadian public company involved in mineral exploration in Quebec, Canada. Its properties are located in the northwestern area of the province recognized worldwide for its large number of significant base and precious metal deposits."
1984,Cosmic Industrial Laboratories,6,http://www.cosmiclabs.com,machinery,"benchmarking, contract r, d, product development, component performance assessment, prototype development, remnant life assessment, failure analysis & prevention, low, high temp mechanical testing, design, development & engineering of special purpose machines, materials characterization, metallurgical testing, technical consultancy, accident investigation, manufacturing process design","Material Testing Laboratory in Bangalore offers Testing facility for wide variety of Materials, Components and Products, Accident investigation, Failure analysis, Simulation tests, Materials development, Product design, Small volume manufacturing - Cosmic Industrial Laboratories Ltd, Bangalore, India."
1984,Ability Center of Virginia,7,http://www.abilitycenterva.org,nonprofit organization management,"fundraisers, quality of life, volunteer, united way, programs, disabilities, nonprofit, cerebral palsy",Ability Center of Virginia (formerly Cerebral Palsy of Virginia) is a 501 (c) (3) non-profit organization serving children and adults with cerebral palsy and other developmental disabilities.
1984,Rohan Organics,8,http://www.rohanorganics.com,chemicals,"degreasing, weeting agents, fatliquors, polymer tanning agents, binders, soft binders, protein binders, pu compounds, finishing auxiliaries, waxes, filler, lacqer, lacquer emulsion, feel modifiers, organics, in organic pigment, dyes, anionic, cat ionic dye solutions","Rohan Organics Pvt. Ltd. is a Chemical Industries situated in the one of largest leather market of World i.e. Kanpur , India"
1985,Blue Ridge Medical Center,68,http://www.brmedical.org,medical practice,"rural health, health care, health education, disease prevention, healthcare, rural health outreach","Blue Ridge Medical Center provides comprehensive and accessible healthcare services including primary care, pediatrics, dentistry, and behavioral health to our Central Virginia Community."
1985,Puente Learning Center,55,http://www.puente.org,education management,"technologyenhanced instruction, individualized instruction, workforce development, high school diploma, charter kindergarten, stem, sat preperation, adult education, education, test preparation, tutoring centers",We are PUENTE: People United to Enrich the Neighborhood Through Education. Building bridges to learning and opportunity in Boyle Heights and beyond.
1985,Silvin,52,http://www.supersilvin.com,plastics,"lead free manufacturer, customisation, rohs certification, iso 9001 certification, compounding expertise, topnotch manufacturing & r, d facilities",Silvin is a leading manufacturer of raw materials that are used for making PVC & CPVC products. Our company supplies SUPER ONEPACK for PVC & CPVC pipes & fittings
1985,Gayatri Metal Products,17,http://www.gayatrimetals.com,mechanical or industrial engineering,"brass cnc machined components, brass automative components, brass electrical, electronic component, brass cable glands, brass custom made components, brass molding inserts",Official Website of Gayatri Metal Products.
1985,BNI Surat,41,http://www.bni-suratsouth.in,online media,"business growth, referral, business networking, business development, business relationships, community organisation, qualified referrals, word of mouth marketing, entrepreneurs training",BNI: Largest Referral Organization. BNI Website Home page for SURAT SOUTH in English (IN)
1985,Shashi Ethnic,1,http://www.shashiethnic.com,apparel & fashion,ethnic wears,Morden Bootstrap HTML5 Template
1985,Color Spot Advertising,5,http://www.color-spot.com,marketing & advertising,"advertising, marketing, research, consulation, web development, online marketing, commercial printing","With Presence of more than 25 years, we at COLOR SPOT ADVERTISING have undoubtedly emerged as paradigm in Advertising and Marketing Industry, functioning as fully INS Accredited Advertising Agency our services excel beyond Advertising."
1986,Right Angle Fashions,12,http://www.rightanglefashions.com,apparel & fashion,"quality product, customer satisfaction, latest designs, low cost, manufacturers","Fashion, Communication & Brand Management"
